num,x,y,tl,tr,q,s
0,18,-43,0,840,0,0
1,21,-31,249,507,56,22
2,14,-35,761,777,64,23
3,23,-41,155,298,63,12
4,15,-35,416,700,15,15
5,19,-31,613,665,54,23
6,18,-34,439,486,84,27
7,16,-41,8,485,81,23
8,18,-40,659,763,43,15
9,24,-41,70,341,63,23
10,19,-35,422,598,37,22
11,17,-35,492,534,52,26
12,22,-43,779,799,90,22
13,18,-38,68,246,83,13
14,21,-31,215,238,85,24
15,26,-35,656,819,35,11
16,19,-31,659,752,87,29
17,18,-32,742,816,59,16
18,22,-32,577,676,23,29
19,22,-39,337,440,90,27
20,22,-42,765,778,99,18
21,25,-37,623,767,82,10
22,19,-43,278,612,42,18
23,17,-34,406,815,88,22
24,17,-32,424,691,22,15
25,21,-37,283,736,40,22
26,18,-43,0,840,0,0
