num,x,y,tl,tr,q,s
0,-101,-23,0,840,0,0
1,-104,-18,317,634,84,26
2,-100,-17,428,478,55,25
3,-96,-20,799,811,33,15
4,-105,-16,522,709,83,25
5,-101,-16,245,423,81,16
6,-94,-21,126,309,19,20
7,-100,-12,149,457,34,23
8,-93,-14,187,663,39,21
9,-105,-16,608,753,63,16
10,-101,-15,450,501,39,19
11,-102,-18,485,615,69,20
12,-102,-15,16,481,54,25
13,-93,-19,241,732,76,15
14,-98,-23,263,600,33,28
15,-103,-18,565,790,87,11
16,-100,-23,807,824,70,14
17,-100,-23,104,422,91,23
18,-100,-11,705,799,36,28
19,-103,-18,294,608,16,18
20,-103,-19,543,703,35,27
21,-103,-21,86,300,68,18
22,-95,-14,526,710,33,27
23,-99,-17,717,763,46,14
24,-96,-18,326,734,52,12
25,-93,-17,169,340,57,27
26,-100,-22,231,347,39,16
27,-95,-13,49,469,13,16
28,-98,-16,773,785,81,10
29,-97,-21,347,489,29,25
30,-97,-23,475,600,60,10
31,-96,-15,308,733,17,21
32,-93,-16,785,818,67,17
33,-102,-13,36,181,18,26
34,-97,-18,340,697,38,16
35,-100,-20,645,751,20,26
36,-99,-14,367,423,58,14
37,-97,-22,327,345,57,14
38,-101,-23,0,840,0,0
