num,x,y,tl,tr,q,s
0,-176,-74,0,840,0,0
1,-176,-85,632,710,94,19
2,-179,-80,401,458,68,17
3,-174,-83,108,116,68,17
4,-172,-82,498,715,81,28
5,-175,-85,807,813,24,14
6,-169,-82,179,546,47,26
7,-175,-75,12,548,81,19
8,-175,-80,43,626,62,19
9,-177,-79,309,726,55,12
10,-179,-80,419,611,63,12
11,-176,-80,245,388,58,10
12,-179,-84,460,573,56,12
13,-178,-85,639,702,87,27
14,-173,-86,437,802,27,14
15,-171,-84,756,819,54,14
16,-172,-80,86,438,54,21
17,-176,-79,56,741,70,13
18,-176,-75,266,750,46,21
19,-169,-78,147,714,13,18
20,-173,-80,403,688,84,10
21,-176,-77,652,693,89,12
22,-174,-82,338,764,63,12
23,-168,-79,336,625,18,20
24,-177,-81,253,641,86,17
25,-178,-77,57,336,37,12
26,-174,-82,720,743,23,26
27,-176,-85,181,536,56,21
28,-170,-76,177,685,26,17
29,-173,-78,228,487,37,12
30,-174,-84,228,633,34,20
31,-172,-79,122,713,85,26
32,-178,-79,24,154,23,10
33,-176,-74,0,840,0,0
