num,x,y,tl,tr,q,s
0,-43,-57,0,840,0,0
1,-49,-47,534,574,14,13
2,-53,-55,576,772,74,22
3,-48,-54,556,623,47,10
4,-50,-58,345,628,55,22
5,-42,-55,754,788,30,17
6,-48,-56,722,804,56,16
7,-52,-58,40,665,33,11
8,-42,-57,101,346,51,29
9,-51,-51,355,363,90,24
10,-41,-55,558,736,44,22
11,-43,-54,172,455,84,25
12,-42,-55,254,771,84,19
13,-53,-52,207,253,84,19
14,-52,-52,629,797,38,22
15,-53,-57,392,733,35,18
16,-47,-51,720,770,92,28
17,-46,-52,661,767,96,18
18,-43,-55,645,797,27,25
19,-48,-50,420,529,13,13
20,-41,-54,519,803,27,11
21,-43,-56,397,634,71,22
22,-43,-57,0,840,0,0
