num,x,y,tl,tr,q,s
0,-49,-21,0,840,0,0
1,-45,-28,673,757,28,10
2,-38,-26,111,211,43,20
3,-45,-29,249,259,69,19
4,-44,-23,509,520,69,22
5,-47,-24,550,737,61,19
6,-39,-19,348,417,33,25
7,-42,-20,245,599,21,26
8,-46,-20,97,340,49,15
9,-43,-25,245,799,53,29
10,-44,-26,335,452,25,22
11,-45,-21,63,602,25,29
12,-41,-28,319,322,75,11
13,-41,-27,401,751,14,16
14,-43,-25,215,692,94,25
15,-48,-27,126,342,60,15
16,-45,-20,369,485,62,28
17,-42,-29,708,817,98,10
18,-41,-23,630,783,78,18
19,-44,-20,573,774,37,20
20,-44,-18,385,651,18,26
21,-44,-30,480,522,54,12
22,-44,-24,137,521,87,23
23,-48,-27,449,765,95,25
24,-43,-24,182,378,56,19
25,-42,-18,711,802,22,14
26,-42,-19,584,802,93,17
27,-48,-27,151,167,47,23
28,-42,-21,744,758,49,20
29,-43,-22,515,619,86,15
30,-48,-26,41,410,73,25
31,-38,-24,199,476,54,18
32,-46,-26,94,402,63,12
33,-45,-20,751,816,38,10
34,-49,-21,0,840,0,0
