num,x,y,tl,tr,q,s
0,-75,88,0,840,0,0
1,-71,88,648,792,91,21
2,-73,76,343,762,97,28
3,-71,81,753,811,33,14
4,-70,81,688,711,93,23
5,-71,85,774,803,41,19
6,-74,86,293,301,99,19
7,-75,83,803,819,54,11
8,-68,80,11,143,84,27
9,-77,82,122,537,37,22
10,-77,83,812,812,31,23
11,-78,87,805,809,77,24
12,-69,85,535,705,37,12
13,-78,80,65,412,26,18
14,-74,88,101,208,68,22
15,-76,86,291,642,35,25
16,-78,79,217,364,22,20
17,-80,81,93,357,59,29
18,-72,78,313,361,80,26
19,-70,82,759,783,57,26
20,-72,85,630,686,68,18
21,-77,81,548,702,43,20
22,-75,85,553,625,72,20
23,-71,84,261,766,30,24
24,-74,77,743,770,73,21
25,-73,81,102,487,60,27
26,-77,83,786,805,65,18
27,-77,80,228,593,48,24
28,-71,83,303,780,53,13
29,-70,88,525,731,64,12
30,-71,87,113,332,68,10
31,-76,82,19,723,53,26
32,-76,78,25,682,94,22
33,-75,88,0,840,0,0
