num,x,y,tl,tr,q,s
0,-166,-20,0,840,0,0
1,-168,-14,62,237,48,23
2,-169,-16,598,668,11,27
3,-166,-18,385,552,12,29
4,-162,-18,755,770,77,22
5,-165,-22,195,658,89,25
6,-171,-23,515,769,34,13
7,-173,-23,415,439,84,13
8,-174,-16,463,636,37,25
9,-169,-23,512,759,53,22
10,-166,-14,521,787,99,21
11,-169,-22,573,797,39,22
12,-169,-26,453,681,29,27
13,-162,-19,39,147,26,26
14,-166,-24,594,600,26,26
15,-168,-15,77,554,12,26
16,-173,-16,140,204,68,14
17,-167,-23,718,776,74,22
18,-171,-22,301,301,61,16
19,-170,-21,126,503,39,15
20,-163,-19,757,797,73,25
21,-168,-23,820,820,10,13
22,-174,-21,115,551,20,24
23,-168,-16,812,816,44,20
24,-172,-23,602,694,13,24
25,-173,-23,396,804,41,27
26,-165,-19,404,653,50,27
27,-171,-20,330,754,51,16
28,-169,-19,299,334,94,14
29,-169,-16,557,757,17,28
30,-167,-25,243,552,76,10
31,-173,-15,749,769,17,23
32,-163,-19,707,797,88,24
33,-174,-17,15,584,51,20
34,-174,-17,797,818,47,17
35,-164,-16,542,622,71,20
36,-167,-15,659,698,60,19
37,-172,-22,686,706,58,18
38,-166,-25,486,645,97,25
39,-168,-18,121,542,43,14
40,-172,-15,332,540,91,23
41,-166,-20,0,840,0,0
