num,x,y,tl,tr,q,s
0,149,81,0,840,0,0
1,148,87,517,789,50,20
2,145,89,689,697,55,13
3,147,80,320,484,58,13
4,146,81,283,494,78,11
5,138,80,61,310,33,12
6,150,78,275,807,57,15
7,146,89,490,650,26,18
8,150,80,411,528,20,10
9,145,87,718,729,98,28
10,145,82,106,529,53,23
11,144,77,766,804,40,14
12,142,83,248,471,13,25
13,143,86,186,461,18,26
14,145,79,448,578,79,18
15,144,87,693,764,49,16
16,144,88,461,553,24,22
17,148,87,385,571,43,16
18,143,82,247,462,80,21
19,146,81,308,667,66,14
20,145,88,123,498,31,18
21,147,86,510,525,47,10
22,146,88,443,447,41,24
23,143,83,688,706,75,29
24,141,82,12,165,51,21
25,145,84,634,669,14,11
26,149,80,690,706,94,20
27,145,83,124,811,33,22
28,142,81,63,665,12,22
29,144,80,210,408,27,13
30,140,85,175,348,59,16
31,145,80,696,726,33,11
32,146,84,799,800,22,10
33,140,82,226,728,24,19
34,149,80,659,789,87,18
35,148,79,766,821,44,17
36,145,78,653,811,84,12
37,143,79,406,554,28,18
38,147,80,35,676,67,26
39,145,82,239,533,60,27
40,143,82,761,828,91,11
41,142,87,510,711,47,24
42,140,80,636,746,32,18
43,139,79,310,757,74,15
44,146,85,719,753,96,27
45,145,81,616,616,98,26
46,150,78,104,656,51,21
47,146,88,787,792,38,17
48,145,81,56,487,28,29
49,144,86,277,531,13,10
50,149,81,0,840,0,0
