num,x,y,tl,tr,q,s
0,-91,86,0,840,0,0
1,-87,78,672,763,67,15
2,-92,79,617,640,42,28
3,-85,84,234,466,79,26
4,-87,85,330,776,97,27
5,-95,77,611,656,11,26
6,-95,82,647,809,97,20
7,-92,78,687,804,77,17
8,-88,87,298,424,87,26
9,-93,81,117,440,52,14
10,-88,86,288,678,50,24
11,-94,87,95,816,97,14
12,-89,86,411,747,31,20
13,-93,87,62,775,34,13
14,-90,76,174,227,67,16
15,-88,87,526,706,70,14
16,-95,87,151,472,37,21
17,-91,77,503,757,21,11
18,-95,79,802,807,11,22
19,-91,87,811,811,74,25
20,-96,81,683,699,79,12
21,-91,76,718,741,55,25
22,-89,87,425,594,71,13
23,-91,86,0,840,0,0
