num,x,y,tl,tr,q,s
0,-127,-3,0,840,0,0
1,-120,-1,812,824,71,15
2,-129,3,255,255,34,18
3,-131,4,524,543,66,25
4,-123,4,629,650,91,19
5,-129,4,124,581,70,16
6,-130,1,515,673,15,13
7,-123,5,180,665,96,13
8,-123,6,638,802,95,10
9,-124,9,590,774,88,11
10,-124,0,624,649,67,18
11,-126,-1,571,577,92,15
12,-122,-2,225,375,39,15
13,-122,2,761,764,57,14
14,-131,2,798,813,62,20
15,-128,8,560,657,91,11
16,-128,7,671,717,10,10
17,-126,4,119,808,29,21
18,-124,6,258,273,67,26
19,-127,-2,724,771,85,14
20,-120,6,631,659,94,12
21,-128,3,196,363,49,15
22,-127,0,595,748,13,17
23,-127,6,557,590,70,21
24,-128,7,666,706,51,28
25,-130,-1,664,681,99,20
26,-130,1,125,621,80,18
27,-125,1,47,99,76,22
28,-124,4,47,251,78,26
29,-125,8,614,657,81,19
30,-124,6,557,678,29,20
31,-126,0,542,653,66,28
32,-129,4,118,574,64,27
33,-121,6,324,350,70,18
34,-121,-1,769,811,66,15
35,-123,1,523,575,56,18
36,-130,1,190,218,15,13
37,-123,1,431,750,64,12
38,-127,-3,0,840,0,0
