num,x,y,tl,tr,q,s
0,18,-87,0,840,0,0
1,6,-84,379,651,40,11
2,7,-83,421,592,67,11
3,7,-86,271,295,88,20
4,17,-84,171,648,25,29
5,18,-82,277,441,96,11
6,16,-78,147,367,36,15
7,13,-85,766,801,94,22
8,14,-84,415,794,69,10
9,11,-79,256,667,27,19
10,15,-90,758,800,86,24
11,17,-83,561,814,69,24
12,9,-80,590,814,46,24
13,17,-84,132,577,82,17
14,8,-81,135,541,27,14
15,13,-87,565,576,79,15
16,15,-84,229,324,59,27
17,10,-88,806,810,20,13
18,10,-82,749,796,27,24
19,11,-88,630,724,97,13
20,11,-82,185,770,16,16
21,15,-78,157,509,96,19
22,15,-88,483,777,52,10
23,16,-89,415,505,43,15
24,16,-86,273,599,79,23
25,15,-90,752,810,74,11
26,16,-82,734,751,72,22
27,15,-85,637,700,85,11
28,11,-86,483,583,16,15
29,10,-81,763,770,82,29
30,17,-81,123,544,76,10
31,10,-84,308,344,98,27
32,14,-89,442,666,38,20
33,8,-84,295,460,93,14
34,6,-85,25,365,39,10
35,18,-86,345,584,38,21
36,16,-88,479,510,13,24
37,16,-83,421,755,60,28
38,14,-89,211,481,62,17
39,15,-84,379,532,50,19
40,14,-87,620,669,48,11
41,13,-79,623,668,52,16
42,8,-84,536,719,22,13
43,13,-88,386,753,59,24
44,17,-80,146,219,94,22
45,12,-86,588,675,94,12
46,18,-87,0,840,0,0
