num,x,y,tl,tr,q,s
0,-91,-70,0,840,0,0
1,-91,-58,459,810,83,20
2,-86,-59,369,493,95,17
3,-84,-61,427,507,72,13
4,-87,-62,311,666,63,27
5,-93,-59,296,754,49,10
6,-90,-68,791,811,33,17
7,-83,-65,433,582,74,13
8,-82,-63,407,685,53,10
9,-92,-65,771,774,65,25
10,-89,-67,620,770,88,24
11,-88,-70,144,326,86,23
12,-85,-67,168,784,23,15
13,-88,-66,643,699,73,11
14,-85,-64,431,656,52,12
15,-88,-67,8,641,89,22
16,-85,-62,580,751,26,14
17,-88,-59,44,678,80,22
18,-83,-66,414,447,18,27
19,-84,-64,429,715,95,29
20,-88,-70,132,280,21,24
21,-91,-65,705,764,60,26
22,-84,-64,341,399,36,28
23,-86,-63,156,173,45,29
24,-92,-64,802,803,16,27
25,-88,-65,574,654,17,20
26,-89,-64,566,791,70,19
27,-92,-62,337,759,41,27
28,-87,-64,201,685,84,27
29,-90,-65,439,550,60,19
30,-88,-58,41,685,87,19
31,-89,-63,800,812,25,22
32,-85,-63,553,738,33,12
33,-89,-60,117,422,55,20
34,-88,-66,750,789,17,16
35,-93,-65,514,670,88,15
36,-89,-60,446,753,77,10
37,-90,-60,486,666,10,15
38,-90,-60,570,788,66,15
39,-83,-65,452,707,89,26
40,-85,-63,359,554,38,29
41,-91,-70,0,840,0,0
