num,x,y,tl,tr,q,s
0,79,-58,0,840,0,0
1,73,-61,463,646,39,15
2,78,-68,242,375,14,26
3,73,-61,137,475,41,12
4,77,-56,203,659,62,28
5,82,-57,116,362,41,23
6,83,-60,288,309,15,20
7,77,-63,265,794,40,25
8,78,-68,573,636,44,19
9,80,-61,640,722,56,26
10,73,-59,357,706,99,24
11,73,-65,449,462,47,27
12,78,-61,115,578,28,24
13,78,-56,726,771,96,29
14,81,-62,41,276,34,28
15,82,-65,165,349,89,16
16,82,-65,313,711,60,21
17,82,-61,513,808,35,16
18,82,-62,354,362,40,11
19,75,-56,5,35,97,14
20,76,-60,763,796,57,25
21,84,-62,526,670,99,10
22,78,-58,547,822,82,13
23,80,-57,40,200,12,19
24,83,-63,738,772,76,27
25,79,-60,662,789,27,23
26,83,-60,84,401,14,25
27,80,-64,521,785,31,10
28,77,-61,328,381,47,17
29,73,-61,811,826,12,13
30,81,-60,748,764,68,21
31,79,-59,692,711,38,21
32,77,-65,336,624,68,25
33,78,-68,550,810,18,11
34,81,-64,167,509,64,10
35,75,-59,342,373,77,15
36,75,-64,609,624,99,18
37,79,-61,121,623,98,17
38,73,-65,317,349,91,29
39,79,-59,278,678,11,27
40,76,-58,127,179,60,12
41,80,-61,701,722,28,24
42,84,-61,83,209,19,17
43,73,-63,391,467,24,15
44,74,-62,221,293,85,11
45,79,-58,0,840,0,0
