num,x,y,tl,tr,q,s
0,-84,16,0,840,0,0
1,-91,7,214,504,84,16
2,-93,8,213,555,45,15
3,-91,7,665,722,55,24
4,-85,17,268,320,57,27
5,-86,15,490,631,12,21
6,-94,12,606,716,42,27
7,-93,15,375,412,11,29
8,-89,18,638,778,53,10
9,-87,14,301,377,20,12
10,-95,12,171,622,58,23
11,-95,15,781,799,74,23
12,-83,13,607,729,40,17
13,-90,11,253,665,36,26
14,-90,7,18,178,43,21
15,-90,14,420,573,49,24
16,-92,10,136,785,65,27
17,-90,19,360,430,72,14
18,-87,10,380,781,14,22
19,-89,14,702,759,88,19
20,-92,18,322,817,84,20
21,-85,10,813,813,98,19
22,-83,13,364,748,38,23
23,-94,12,222,632,35,29
24,-92,11,210,623,91,28
25,-84,16,0,840,0,0
