num,x,y,tl,tr,q,s
0,169,-19,0,840,0,0
1,169,-7,139,401,46,10
2,173,-9,325,782,32,29
3,161,-12,416,513,46,17
4,164,-13,739,821,78,15
5,171,-8,29,574,15,28
6,168,-19,351,733,17,28
7,170,-9,556,651,48,27
8,170,-17,53,95,98,14
9,172,-8,168,643,35,24
10,171,-7,81,511,62,23
11,169,-7,352,650,76,12
12,167,-13,562,764,81,29
13,172,-8,388,421,18,20
14,161,-11,308,798,12,13
15,170,-18,7,41,25,16
16,172,-13,388,580,64,22
17,161,-10,304,638,63,15
18,170,-18,653,772,99,18
19,167,-15,554,717,92,13
20,164,-12,278,287,50,16
21,166,-16,448,520,76,24
22,167,-15,763,771,56,22
23,169,-14,464,742,37,12
24,169,-14,490,813,49,11
25,162,-12,534,535,89,10
26,166,-16,435,755,93,15
27,161,-12,730,756,59,27
28,170,-18,420,639,69,19
29,167,-9,231,420,64,27
30,173,-10,682,741,59,16
31,162,-14,743,799,18,13
32,169,-19,123,730,29,22
33,171,-12,153,752,71,23
34,169,-9,119,747,68,25
35,163,-12,167,747,46,15
36,168,-14,108,138,33,21
37,164,-9,736,802,32,20
38,166,-14,658,805,70,16
39,164,-11,647,732,56,16
40,163,-14,621,675,80,27
41,165,-9,455,503,67,16
42,164,-8,633,792,93,22
43,164,-13,247,653,24,24
44,168,-16,687,732,11,29
45,169,-19,0,840,0,0
