num,x,y,tl,tr,q,s
0,84,-58,0,840,0,0
1,44,-35,644,824,26,19
2,64,-61,200,252,22,10
3,61,-23,683,784,98,27
4,67,-20,191,579,83,24
5,46,-58,155,823,48,13
6,72,-31,111,378,49,28
7,67,-37,487,526,61,22
8,58,-38,663,742,19,12
9,58,-39,471,599,29,25
10,75,-41,0,72,21,26
11,58,-20,304,346,45,28
12,47,-63,236,332,42,17
13,72,-30,619,786,20,29
14,70,-37,665,743,17,29
15,58,-41,635,751,95,10
16,46,-63,436,679,93,20
17,90,-46,588,793,40,29
18,60,-64,142,754,29,16
19,90,-52,381,555,85,14
20,44,-38,194,432,29,14
21,66,-28,771,790,11,18
22,48,-49,265,414,20,21
23,88,-40,474,605,99,23
24,70,-34,642,822,94,19
25,58,-27,530,545,46,13
26,69,-39,385,447,38,17
27,65,-57,744,810,70,12
28,54,-41,524,550,26,21
29,70,-34,796,826,59,12
30,46,-57,421,539,17,13
31,55,-52,46,334,83,15
32,65,-46,679,749,78,27
33,41,-54,494,600,93,20
34,68,-34,44,837,26,26
35,84,-58,0,840,0,0
