num,x,y,tl,tr,q,s
0,39,-8,0,840,0,0
1,41,1,653,767,16,11
2,39,-3,249,308,97,18
3,33,-2,547,759,65,13
4,40,0,417,617,65,16
5,40,-1,492,714,70,20
6,45,-2,40,448,68,16
7,39,-7,66,70,95,24
8,41,0,617,686,69,28
9,43,-3,368,397,21,16
10,44,1,780,783,13,29
11,45,-3,326,491,50,14
12,41,2,324,609,72,25
13,40,0,48,718,41,17
14,43,-7,456,561,27,26
15,33,0,527,777,77,25
16,40,-7,713,790,34,19
17,45,-1,393,533,48,26
18,40,-7,423,484,85,17
19,39,-9,12,403,91,29
20,40,-3,627,768,58,18
21,33,-1,437,487,41,21
22,33,-4,428,787,13,23
23,38,1,359,671,43,24
24,34,-4,472,626,82,11
25,37,-3,94,265,53,26
26,36,-7,535,745,53,29
27,34,-1,20,229,75,14
28,44,-5,330,770,11,19
29,34,0,743,761,89,13
30,39,1,282,513,90,10
31,43,-7,282,596,71,14
32,42,3,254,657,99,22
33,43,-7,281,374,30,12
34,42,-3,466,488,21,22
35,43,0,561,607,22,24
36,37,1,455,545,80,22
37,45,-1,63,820,99,12
38,33,-4,792,798,20,22
39,42,-4,229,404,22,15
40,43,-4,605,768,87,11
41,39,-8,0,840,0,0
