num,x,y,tl,tr,q,s
0,-127,68,0,840,0,0
1,-138,64,351,584,56,28
2,-134,66,340,521,63,20
3,-135,62,575,620,65,25
4,-133,70,781,804,21,24
5,-134,61,418,714,80,20
6,-136,67,788,806,45,29
7,-132,73,21,769,81,14
8,-134,62,151,517,87,23
9,-130,65,523,790,90,14
10,-134,71,157,677,37,20
11,-133,72,754,809,43,25
12,-128,64,25,687,30,15
13,-129,64,421,423,48,15
14,-134,70,159,747,61,23
15,-133,66,425,493,69,22
16,-126,67,49,468,33,21
17,-127,64,627,720,75,14
18,-134,68,279,345,52,23
19,-132,63,647,808,21,22
20,-135,70,126,607,49,20
21,-128,62,572,746,35,18
22,-136,63,358,780,85,26
23,-127,64,113,355,45,22
24,-132,64,517,524,87,11
25,-129,65,664,781,62,16
26,-131,72,303,653,80,12
27,-130,69,363,553,74,26
28,-134,69,460,720,17,16
29,-133,72,617,621,57,21
30,-135,69,175,787,26,17
31,-134,72,184,616,91,26
32,-130,64,642,767,27,19
33,-133,67,224,363,66,22
34,-137,64,97,486,13,14
35,-131,65,498,672,80,10
36,-128,70,137,616,83,21
37,-135,70,782,791,90,29
38,-131,70,364,429,47,21
39,-132,69,241,273,95,18
40,-138,64,252,804,81,21
41,-133,65,59,309,65,12
42,-126,63,410,625,64,23
43,-130,72,217,315,18,14
44,-128,69,183,773,88,19
45,-134,65,254,333,64,11
46,-132,69,609,775,63,22
47,-134,72,458,597,97,19
48,-127,68,0,840,0,0
