num,x,y,tl,tr,q,s
0,53,-41,0,840,0,0
1,47,-35,32,301,35,18
2,47,-44,69,454,18,16
3,54,-41,733,794,11,22
4,55,-35,248,438,72,19
5,53,-35,623,633,49,22
6,53,-41,534,538,69,26
7,48,-42,93,782,21,22
8,57,-38,125,709,55,18
9,47,-36,64,650,99,22
10,49,-43,792,792,42,20
11,55,-42,105,493,32,19
12,57,-37,710,791,10,22
13,55,-36,754,798,98,14
14,57,-39,108,370,25,26
15,54,-42,447,700,35,20
16,48,-38,508,647,79,18
17,49,-34,65,678,22,12
18,51,-34,164,745,26,27
19,50,-43,602,754,66,10
20,48,-41,455,772,63,26
21,56,-37,361,781,55,17
22,56,-43,378,412,62,28
23,49,-33,651,747,46,20
24,54,-41,24,169,40,20
25,52,-43,50,174,93,19
26,53,-39,299,738,95,24
27,53,-35,359,814,17,25
28,53,-35,534,739,88,17
29,52,-33,435,584,59,28
30,46,-41,715,794,16,21
31,51,-42,80,104,96,28
32,57,-42,287,713,34,12
33,57,-42,304,636,49,24
34,51,-45,440,762,14,13
35,50,-33,567,737,97,17
36,49,-33,322,425,91,22
37,47,-36,254,458,60,26
38,55,-35,128,226,88,17
39,48,-37,435,744,81,21
40,49,-41,13,629,74,14
41,49,-36,258,430,67,21
42,53,-41,0,840,0,0
