num,x,y,tl,tr,q,s
0,106,-81,0,840,0,0
1,102,-90,738,774,40,22
2,108,-90,469,518,80,13
3,104,-85,618,658,49,11
4,110,-90,539,583,23,14
5,100,-88,132,548,50,28
6,111,-84,135,301,26,29
7,111,-88,421,567,75,27
8,106,-82,378,700,57,24
9,110,-85,727,822,98,12
10,101,-90,290,728,71,27
11,105,-80,390,676,21,11
12,107,-88,297,426,88,15
13,104,-85,80,739,60,15
14,110,-87,136,710,97,19
15,110,-86,576,688,95,14
16,110,-88,83,298,89,23
17,110,-90,682,793,72,21
18,103,-85,355,584,81,18
19,110,-90,60,390,53,29
20,104,-83,717,825,41,11
21,105,-88,632,643,77,21
22,100,-87,506,788,31,12
23,108,-83,810,813,11,25
24,110,-84,423,663,85,27
25,102,-90,442,556,45,18
26,112,-87,292,418,90,21
27,112,-88,714,751,18,13
28,105,-89,533,735,57,14
29,106,-81,0,840,0,0
