num,x,y,tl,tr,q,s
0,-59,85,0,840,0,0
1,-55,81,670,789,43,15
2,-47,88,401,594,45,14
3,-54,89,614,628,36,21
4,-53,80,392,688,13,29
5,-54,83,52,653,23,17
6,-50,81,229,634,43,22
7,-56,85,450,508,17,14
8,-59,85,433,667,44,16
9,-54,78,485,739,43,28
10,-48,88,642,718,62,18
11,-50,88,382,605,36,16
12,-56,84,798,816,11,21
13,-48,88,717,771,48,18
14,-54,79,311,524,15,16
15,-51,81,565,701,71,19
16,-48,83,283,528,17,17
17,-55,85,693,710,75,23
18,-56,83,500,687,23,25
19,-51,80,762,775,61,29
20,-55,82,279,550,99,13
21,-52,78,688,766,62,24
22,-51,79,428,499,27,26
23,-53,80,39,505,23,17
24,-50,83,141,783,92,23
25,-52,88,739,804,76,16
26,-51,86,6,340,19,20
27,-48,82,51,720,83,12
28,-48,80,540,823,42,11
29,-59,85,0,840,0,0
