num,x,y,tl,tr,q,s
0,99,78,0,840,0,0
1,108,70,76,631,64,10
2,107,74,397,484,26,11
3,107,70,451,451,26,13
4,104,67,67,237,70,12
5,102,79,64,812,60,25
6,97,75,141,274,90,15
7,104,75,663,671,46,15
8,102,69,209,724,88,16
9,102,68,184,374,55,24
10,99,72,482,723,22,20
11,104,78,528,648,42,21
12,98,75,528,687,75,18
13,103,79,584,612,11,14
14,102,73,65,647,43,22
15,102,73,430,617,18,19
16,107,71,234,262,46,13
17,100,78,568,740,14,18
18,99,68,141,638,20,13
19,106,71,213,380,14,16
20,107,71,139,408,79,22
21,106,70,579,720,92,17
22,100,77,657,812,37,20
23,105,76,550,698,43,20
24,102,74,614,707,65,19
25,101,69,9,765,91,26
26,103,71,384,687,18,29
27,105,69,49,257,15,11
28,99,78,0,840,0,0
