num,x,y,tl,tr,q,s
0,-51,87,0,840,0,0
1,-47,84,782,800,42,13
2,-45,79,483,799,46,13
3,-47,83,477,690,50,10
4,-39,86,770,794,43,15
5,-46,83,488,626,43,12
6,-44,82,209,664,75,11
7,-41,82,262,791,26,12
8,-50,87,406,410,33,16
9,-44,85,209,226,12,22
10,-44,87,77,604,67,21
11,-47,83,630,644,79,27
12,-43,83,324,521,46,19
13,-49,86,767,802,36,24
14,-50,86,181,364,49,23
15,-40,86,38,468,91,26
16,-45,85,433,651,42,22
17,-43,80,216,501,28,19
18,-39,87,621,640,81,27
19,-46,78,103,452,63,22
20,-40,85,54,54,98,13
21,-43,79,744,818,95,18
22,-47,79,35,143,82,19
23,-47,78,136,183,71,21
24,-45,78,172,546,91,26
25,-44,87,685,711,40,15
26,-40,88,344,595,45,26
27,-50,88,581,782,95,24
28,-46,81,770,794,58,16
29,-43,85,198,277,75,23
30,-51,87,0,840,0,0
