num,x,y,tl,tr,q,s
0,51,49,0,840,0,0
1,50,46,407,620,92,11
2,50,40,107,676,83,15
3,42,41,392,777,21,28
4,43,46,582,717,76,13
5,53,39,166,484,36,11
6,47,39,793,809,49,27
7,47,39,490,530,88,25
8,48,46,365,517,36,24
9,46,49,99,297,29,19
10,50,48,611,644,53,15
11,53,41,124,310,88,26
12,51,39,579,706,49,17
13,44,43,594,757,21,28
14,49,44,308,685,89,28
15,44,46,704,784,29,28
16,51,41,113,426,59,25
17,50,48,190,543,43,14
18,51,39,658,758,78,17
19,50,41,308,346,49,19
20,50,42,463,690,86,24
21,51,48,341,669,90,19
22,46,48,96,481,39,18
23,48,43,712,799,48,28
24,50,48,450,496,52,24
25,45,47,716,782,40,11
26,49,38,389,664,35,28
27,47,45,49,143,74,29
28,48,41,47,481,16,15
29,47,48,15,664,56,14
30,47,40,149,733,47,29
31,48,47,517,675,71,29
32,44,39,699,727,52,21
33,44,47,426,790,69,20
34,50,49,471,753,29,24
35,48,37,144,704,41,20
36,43,46,63,341,79,10
37,45,43,791,807,85,17
38,44,47,713,807,24,13
39,45,46,304,553,86,29
40,51,49,291,801,30,25
41,49,43,162,684,82,20
42,51,49,198,807,91,25
43,53,41,576,662,34,27
44,48,46,797,815,69,24
45,53,39,340,626,88,15
46,50,46,664,723,73,21
47,47,39,561,636,38,28
48,51,49,0,840,0,0
