num,x,y,tl,tr,q,s
0,143,-26,0,840,0,0
1,139,-28,227,683,32,29
2,136,-26,226,725,98,16
3,139,-34,519,794,74,14
4,140,-27,319,370,29,22
5,142,-32,285,558,24,11
6,133,-32,702,764,37,13
7,138,-24,413,520,81,19
8,140,-36,135,301,37,22
9,143,-29,61,109,87,29
10,135,-33,708,728,29,20
11,141,-31,125,243,18,17
12,133,-29,200,480,41,17
13,142,-29,395,547,70,12
14,139,-28,102,411,61,23
15,144,-28,351,557,84,12
16,142,-33,548,709,52,25
17,140,-26,738,749,75,23
18,145,-32,363,796,14,28
19,142,-30,314,627,40,12
20,141,-33,333,451,41,16
21,142,-33,690,757,80,27
22,141,-29,408,544,52,17
23,142,-35,403,666,27,14
24,142,-32,192,444,37,19
25,141,-27,271,666,52,29
26,141,-28,694,779,78,28
27,137,-31,69,400,26,22
28,139,-29,187,233,85,28
29,139,-30,135,609,66,22
30,141,-28,63,337,49,17
31,135,-28,790,794,75,24
32,139,-29,267,269,78,15
33,142,-25,251,333,19,16
34,135,-26,550,638,32,12
35,135,-29,578,785,86,26
36,135,-34,309,427,42,13
37,137,-35,798,802,93,29
38,141,-27,264,346,45,10
39,136,-25,599,756,56,13
40,138,-29,796,800,13,29
41,135,-28,676,813,19,18
42,140,-30,396,489,23,29
43,142,-25,195,770,85,12
44,136,-35,220,649,60,13
45,137,-36,181,298,47,27
46,138,-32,71,505,49,24
47,144,-31,420,631,30,21
48,143,-26,0,840,0,0
