num,x,y,tl,tr,q,s
0,46,74,0,840,0,0
1,37,71,236,478,79,28
2,40,68,694,756,37,26
3,38,72,62,651,69,19
4,37,72,483,547,30,14
5,48,69,483,792,51,16
6,47,71,48,584,76,13
7,38,72,667,688,32,28
8,39,65,56,230,67,21
9,42,70,672,782,37,27
10,42,74,310,484,72,22
11,46,73,6,406,29,25
12,42,67,24,96,38,15
13,37,70,171,301,80,27
14,45,63,295,544,77,22
15,40,74,620,669,49,13
16,39,67,342,362,61,17
17,49,70,324,394,94,12
18,47,68,458,592,75,26
19,46,67,174,303,28,10
20,46,73,319,561,20,15
21,45,63,187,266,32,22
22,47,74,309,472,60,15
23,45,70,129,765,45,15
24,43,65,110,568,23,20
25,46,68,504,783,17,29
26,43,63,123,464,51,21
27,48,71,88,340,69,12
28,46,74,0,840,0,0
