num,x,y,tl,tr,q,s
0,-152,60,0,840,0,0
1,-160,68,495,645,70,28
2,-157,63,376,524,48,13
3,-154,67,559,743,24,23
4,-158,64,728,738,97,12
5,-154,65,484,802,19,28
6,-154,70,289,415,56,16
7,-157,58,70,620,15,28
8,-155,69,487,574,86,21
9,-163,62,591,606,91,24
10,-154,64,684,704,11,23
11,-161,61,199,669,68,16
12,-156,61,413,668,61,13
13,-157,64,377,411,27,16
14,-163,63,740,748,30,11
15,-154,58,582,717,63,23
16,-160,66,650,761,72,23
17,-159,64,596,739,25,16
18,-161,60,409,632,33,12
19,-154,67,291,479,95,28
20,-162,62,545,730,71,24
21,-153,63,52,500,99,24
22,-153,67,355,702,30,20
23,-157,69,595,681,21,12
24,-161,67,478,708,94,22
25,-151,65,491,518,60,10
26,-155,58,137,777,35,11
27,-163,63,641,642,87,29
28,-157,58,351,422,84,29
29,-158,63,727,764,74,29
30,-156,66,701,711,81,23
31,-162,67,260,344,27,16
32,-153,59,340,494,18,29
33,-152,63,716,751,71,11
34,-159,64,289,649,82,18
35,-154,66,781,785,93,28
36,-157,66,171,337,53,28
37,-152,65,352,727,60,27
38,-152,65,0,31,47,10
39,-161,62,195,230,85,29
40,-157,70,720,767,87,27
41,-160,66,69,181,28,19
42,-153,61,258,557,15,11
43,-152,60,0,840,0,0
