num,x,y,tl,tr,q,s
0,60,-53,0,840,0,0
1,53,-62,528,616,23,22
2,60,-52,743,751,50,26
3,60,-57,263,337,58,23
4,55,-56,745,750,55,13
5,52,-54,435,488,78,12
6,49,-55,221,792,75,24
7,57,-56,62,480,16,25
8,52,-58,627,691,88,15
9,57,-52,551,770,11,22
10,53,-59,309,548,85,20
11,58,-61,517,525,98,25
12,59,-59,228,422,98,29
13,53,-52,507,608,82,13
14,54,-61,281,650,39,22
15,54,-60,725,785,39,22
16,50,-54,802,812,40,25
17,48,-55,73,526,38,29
18,57,-60,34,162,30,11
19,57,-55,387,454,78,15
20,60,-54,357,535,10,25
21,53,-61,408,810,67,11
22,48,-54,151,580,21,15
23,58,-51,322,770,73,23
24,51,-55,676,807,77,12
25,56,-53,602,740,85,16
26,57,-58,741,824,39,15
27,53,-59,501,556,43,22
28,58,-51,764,806,72,21
29,51,-58,334,704,11,18
30,59,-58,574,618,64,20
31,50,-57,160,249,22,13
32,55,-56,374,574,63,10
33,56,-60,638,759,94,22
34,57,-57,634,781,92,21
35,58,-52,791,798,54,14
36,57,-59,740,787,68,20
37,58,-54,770,772,75,14
38,54,-62,338,537,94,21
39,53,-61,310,639,84,28
40,56,-55,197,323,59,11
41,57,-60,428,431,86,22
42,59,-55,616,725,34,27
43,60,-53,0,840,0,0
