num,x,y,tl,tr,q,s
0,3,56,0,840,0,0
1,6,58,804,818,10,17
2,13,52,553,685,49,17
3,5,56,277,688,21,26
4,11,50,185,604,63,28
5,1,51,755,802,52,24
6,6,49,158,417,37,16
7,4,58,101,571,84,25
8,6,49,542,794,98,20
9,5,58,242,441,92,19
10,10,59,57,608,17,29
11,6,55,151,530,45,23
12,5,56,41,225,88,15
13,9,57,203,362,56,10
14,9,57,418,813,96,16
15,6,58,140,390,27,29
16,11,53,432,603,96,25
17,1,51,377,472,16,21
18,8,56,664,723,25,25
19,9,49,553,793,50,19
20,8,61,158,780,98,11
21,5,51,78,624,19,11
22,4,51,275,473,73,22
23,4,54,410,448,91,14
24,5,54,166,232,83,17
25,5,58,813,813,89,24
26,4,54,530,557,83,25
27,11,54,60,450,73,24
28,3,56,0,840,0,0
