num,x,y,tl,tr,q,s
0,23,43,0,840,0,0
1,13,43,784,809,28,15
2,18,32,370,702,72,18
3,16,33,29,331,11,12
4,14,37,217,417,58,21
5,15,37,292,653,97,25
6,20,34,180,500,84,16
7,22,40,321,415,62,14
8,20,35,573,662,18,10
9,19,40,705,821,82,18
10,13,41,442,583,19,23
11,12,41,816,824,24,11
12,19,44,501,526,26,29
13,18,32,411,753,31,21
14,11,40,54,438,46,29
15,18,34,316,787,53,11
16,23,37,105,410,97,14
17,14,35,100,681,95,21
18,20,37,236,292,77,15
19,22,41,801,806,85,27
20,13,42,668,722,14,28
21,14,38,139,640,62,24
22,18,38,744,779,31,27
23,17,43,777,800,43,29
24,22,37,20,587,16,20
25,15,36,53,216,29,28
26,17,35,442,479,33,22
27,21,37,199,534,97,29
28,15,38,361,777,61,19
29,18,44,20,493,13,22
30,22,38,231,490,50,25
31,16,44,206,606,71,18
32,16,44,323,634,80,16
33,18,38,320,770,67,14
34,12,41,742,802,93,10
35,18,36,470,610,28,17
36,21,38,124,356,85,12
37,18,38,138,174,56,23
38,22,35,249,762,87,11
39,19,33,707,809,82,16
40,23,41,393,572,76,12
41,18,40,39,345,40,14
42,22,39,57,129,89,29
43,23,43,0,840,0,0
