num,x,y,tl,tr,q,s
0,148,26,0,840,0,0
1,156,22,211,391,35,26
2,156,28,508,522,66,23
3,155,17,492,765,49,18
4,151,17,791,822,78,15
5,158,22,94,473,27,13
6,155,16,202,413,82,19
7,158,23,293,755,18,11
8,147,25,17,55,25,23
9,151,24,417,509,50,13
10,147,21,687,800,28,23
11,158,25,19,785,33,11
12,152,28,238,382,70,29
13,157,21,666,717,68,21
14,152,22,345,472,22,17
15,151,17,42,487,42,25
16,154,22,72,729,66,12
17,156,23,45,110,51,26
18,152,19,441,644,50,11
19,153,24,100,407,24,28
20,154,16,468,481,31,29
21,154,26,655,740,39,19
22,154,28,485,790,81,21
23,153,20,674,678,56,23
24,152,27,776,806,88,26
25,158,25,752,783,95,23
26,151,24,451,700,19,14
27,154,26,289,623,20,24
28,148,26,0,840,0,0
