num,x,y,tl,tr,q,s
0,50,-57,0,840,0,0
1,45,-58,124,367,38,18
2,41,-60,779,802,93,29
3,44,-62,445,515,97,15
4,50,-62,79,187,54,26
5,47,-64,120,260,11,27
6,47,-53,240,763,20,19
7,49,-62,617,682,40,13
8,41,-59,776,788,60,26
9,47,-61,122,233,11,18
10,53,-59,168,693,10,18
11,52,-61,216,238,17,26
12,47,-65,615,757,69,18
13,47,-65,303,508,87,28
14,50,-56,522,522,89,15
15,45,-60,161,299,42,26
16,44,-56,605,698,99,29
17,46,-65,534,547,32,21
18,46,-54,475,772,66,27
19,46,-54,736,822,81,10
20,46,-54,785,822,48,10
21,51,-55,418,676,73,16
22,52,-58,272,399,70,24
23,51,-62,614,618,31,14
24,51,-55,754,799,35,10
25,41,-59,766,819,32,10
26,50,-55,365,707,66,23
27,49,-57,644,754,77,14
28,42,-55,587,704,32,22
29,42,-60,494,681,78,22
30,50,-54,177,728,85,18
31,42,-56,38,750,56,22
32,45,-54,678,727,74,20
33,48,-63,250,344,84,17
34,45,-60,452,662,74,14
35,44,-63,528,596,44,27
36,41,-59,14,86,28,27
37,48,-55,754,810,94,28
38,45,-54,131,253,43,13
39,45,-62,563,686,86,29
40,46,-63,320,683,12,14
41,48,-59,366,721,83,21
42,50,-57,0,840,0,0
