num,x,y,tl,tr,q,s
0,-173,-17,0,840,0,0
1,-162,-20,68,770,30,19
2,-166,-26,194,495,13,18
3,-173,-18,210,680,51,23
4,-173,-18,1,340,54,11
5,-161,-20,82,553,55,25
6,-165,-25,180,186,48,25
7,-169,-21,5,345,88,19
8,-169,-20,51,523,30,28
9,-171,-26,219,569,23,28
10,-169,-20,393,452,39,10
11,-164,-21,206,415,66,25
12,-166,-22,227,289,64,22
13,-162,-19,87,479,57,25
14,-167,-22,86,112,41,29
15,-169,-16,438,479,83,17
16,-164,-25,607,689,19,21
17,-166,-25,386,602,40,10
18,-171,-17,17,119,54,19
19,-161,-19,260,771,36,29
20,-172,-20,715,806,20,21
21,-167,-22,108,676,11,19
22,-166,-17,275,762,48,26
23,-172,-20,486,575,84,28
24,-167,-19,370,426,76,20
25,-167,-15,386,666,54,22
26,-167,-22,555,650,92,13
27,-169,-24,473,558,66,28
28,-171,-24,784,807,42,26
29,-164,-16,787,798,74,17
30,-168,-18,770,793,86,12
31,-168,-26,344,775,55,11
32,-165,-24,292,341,60,14
33,-164,-21,474,506,50,29
34,-171,-23,605,655,30,18
35,-167,-22,666,810,84,22
36,-173,-21,702,705,66,11
37,-165,-20,463,635,87,21
38,-166,-23,358,741,90,22
39,-165,-16,186,321,84,19
40,-167,-21,460,655,37,28
41,-166,-19,444,735,68,21
42,-165,-19,211,751,12,14
43,-168,-21,126,312,69,29
44,-168,-24,145,428,83,27
45,-163,-23,403,443,96,22
46,-173,-17,0,840,0,0
