num,x,y,tl,tr,q,s
0,-168,23,0,840,0,0
1,-167,18,674,694,89,13
2,-157,22,397,571,79,29
3,-162,19,356,421,60,13
4,-157,24,341,508,84,29
5,-163,18,685,759,55,23
6,-167,18,818,826,97,13
7,-162,25,218,309,41,16
8,-167,24,323,428,46,10
9,-160,14,137,183,48,13
10,-159,18,128,244,10,10
11,-166,20,439,659,68,15
12,-163,21,394,778,91,28
13,-156,21,562,785,51,22
14,-159,21,263,264,69,27
15,-163,22,246,383,57,21
16,-159,22,725,808,93,20
17,-159,20,545,689,96,13
18,-165,20,334,395,57,22
19,-161,14,668,680,61,13
20,-158,22,517,707,55,29
21,-166,20,535,617,45,17
22,-167,23,280,494,34,19
23,-164,23,49,134,10,24
24,-164,18,670,699,66,27
25,-164,21,4,115,42,19
26,-159,15,389,609,72,11
27,-159,17,202,752,97,11
28,-160,22,765,771,52,10
29,-167,18,126,481,62,23
30,-157,24,776,780,24,21
31,-160,15,792,804,53,12
32,-167,22,322,612,49,18
33,-168,23,0,840,0,0
