num,x,y,tl,tr,q,s
0,78,1,0,840,0,0
1,89,2,236,531,41,13
2,82,-3,758,825,21,14
3,77,-1,392,513,96,16
4,83,-3,795,814,61,16
5,83,-5,807,817,62,22
6,84,-6,629,662,90,14
7,89,-2,5,773,71,17
8,83,5,176,781,69,17
9,89,2,248,383,21,21
10,77,0,428,593,44,13
11,79,0,131,267,59,26
12,84,-7,611,714,42,25
13,80,1,720,803,88,20
14,83,-5,288,327,11,16
15,86,-1,220,240,80,13
16,84,-7,658,777,47,29
17,87,5,517,726,15,28
18,81,-4,83,490,60,23
19,86,-2,802,820,80,16
20,83,-1,413,438,65,28
21,80,-2,481,779,29,21
22,89,1,118,246,28,23
23,85,-2,329,332,51,27
24,81,-2,271,742,29,29
25,88,-3,401,805,14,26
26,81,0,755,796,32,21
27,85,-3,425,627,27,17
28,87,-4,354,472,51,14
29,79,3,54,110,84,27
30,88,4,704,746,88,17
31,87,1,310,713,69,22
32,89,-1,214,496,59,24
33,84,1,268,370,37,15
34,79,-4,3,34,83,23
35,82,5,90,507,28,23
36,89,1,574,613,22,16
37,77,1,565,585,64,14
38,77,1,566,797,35,24
39,78,0,800,807,87,18
40,84,-1,416,716,89,26
41,77,-1,358,790,39,10
42,85,-3,590,753,34,17
43,84,-5,615,666,34,29
44,84,2,74,589,31,25
45,85,1,441,799,97,23
46,84,1,287,793,97,21
47,82,4,771,781,57,12
48,86,-1,41,193,10,19
49,86,2,382,671,90,13
50,78,1,0,840,0,0
