num,x,y,tl,tr,q,s
0,-66,3,0,840,0,0
1,-56,10,622,672,20,25
2,-59,13,228,351,86,27
3,-66,8,308,451,67,24
4,-67,12,179,550,62,27
5,-67,8,531,597,53,15
6,-65,8,180,746,62,15
7,-65,9,154,614,90,17
8,-64,9,165,351,12,21
9,-57,6,8,803,59,13
10,-60,13,798,811,86,13
11,-62,3,759,771,61,19
12,-66,12,227,242,21,20
13,-62,14,86,444,11,27
14,-62,7,277,661,44,25
15,-66,12,281,628,54,16
16,-63,10,449,711,86,21
17,-67,8,473,589,62,22
18,-65,10,71,640,21,29
19,-64,12,166,454,48,15
20,-57,5,794,795,76,18
21,-64,13,164,636,51,25
22,-64,2,743,801,42,18
23,-66,13,717,754,60,21
24,-59,7,101,431,12,22
25,-66,3,0,840,0,0
