95
0,194,107,0,840,0,0
1,279,-179,200,241,50,22
2,82,101,455,561,46,12
3,247,90,834,835,85,27
4,25,-173,569,591,14,27
5,97,-143,365,403,56,10
6,242,-47,669,722,6,14
7,111,1,732,821,77,18
8,312,-102,461,562,84,10
9,330,-120,139,412,80,29
10,331,102,215,779,13,20
11,342,19,20,734,96,13
12,236,165,145,746,51,10
13,8,-61,735,744,27,21
14,183,144,32,598,23,14
15,273,92,267,796,51,13
16,72,65,380,393,7,10
17,163,-148,3,221,25,11
18,106,23,547,741,59,12
19,316,171,522,536,48,11
20,138,-58,713,744,82,14
21,23,-69,315,320,12,28
22,297,-12,411,471,64,20
23,100,-42,646,801,45,27
24,109,45,161,818,20,13
25,102,52,546,597,36,15
26,185,-140,155,380,25,16
27,23,160,537,790,54,11
28,294,161,122,727,69,11
29,340,-178,561,571,85,24
30,170,140,424,639,88,25
31,349,105,482,582,42,24
32,221,17,532,556,29,23
33,139,-57,834,834,69,23
34,70,85,242,329,97,21
35,325,-57,585,831,1,13
36,45,-16,802,819,39,20
37,250,95,807,819,26,13
38,117,-54,719,757,47,24
39,340,76,469,523,8,25
40,296,66,482,492,12,10
41,161,177,63,774,81,23
42,121,141,640,772,38,26
43,132,-68,199,278,58,22
44,30,11,537,609,45,27
45,95,36,344,469,72,19
46,356,-167,507,731,88,29
47,186,-120,348,348,75,10
48,116,-61,243,703,43,21
49,178,86,290,421,50,16
50,73,85,189,683,41,17
51,268,61,747,807,20,16
52,273,142,172,692,35,19
53,180,-47,465,583,17,15
54,333,-160,208,216,57,27
55,142,-89,357,753,4,17
56,320,-127,400,525,89,28
57,46,10,297,701,42,17
58,348,-39,831,834,82,13
59,283,-152,704,809,95,21
60,201,61,52,234,58,19
61,187,154,272,738,64,15
62,43,128,282,770,10,26
63,346,-102,197,706,48,11
64,53,-132,667,736,18,24
65,165,73,63,187,76,22
66,51,-98,739,808,5,20
67,41,-73,284,802,42,29
68,223,-42,501,546,17,22
69,242,-21,86,419,92,17
70,217,-127,725,818,27,23
71,49,32,493,751,62,17
72,284,142,537,576,35,23
73,350,-47,85,369,94,19
74,228,-110,323,750,1,16
75,347,-28,190,824,22,29
76,114,115,264,396,45,20
77,170,57,685,820,25,21
78,166,-57,731,778,81,28
79,261,-46,363,630,62,10
80,227,-75,671,721,55,19
81,133,33,134,583,26,24
82,259,154,463,837,15,10
83,300,-83,352,566,24,27
84,25,128,445,814,44,28
85,345,145,436,705,28,10
86,331,53,641,786,57,19
87,162,75,495,604,52,21
88,53,-111,234,260,64,26
89,340,100,399,748,45,27
90,44,-40,360,539,24,18
91,246,-65,298,807,96,12
92,19,-109,331,401,20,29
93,283,101,192,502,4,28
94,104,27,726,751,60,11
95,38,-45,325,789,22,14
96,194,107,0,840,0,0
