num,x,y,tl,tr,q,s
0,149,8,0,840,0,0
1,147,7,700,796,39,29
2,148,13,566,597,96,17
3,141,9,104,237,52,24
4,141,13,812,816,19,14
5,142,4,176,201,26,18
6,144,10,195,221,25,21
7,141,3,135,212,71,13
8,152,8,319,336,91,25
9,150,11,712,759,19,15
10,140,6,541,803,85,10
11,148,4,425,740,53,28
12,146,6,7,135,17,23
13,145,5,20,745,58,24
14,140,9,657,777,33,28
15,141,13,676,803,15,19
16,142,14,390,540,58,17
17,144,4,378,805,39,13
18,142,4,181,322,43,24
19,141,6,521,662,38,13
20,147,11,313,797,27,23
21,141,5,742,746,79,25
22,145,12,349,408,40,11
23,143,6,185,649,66,19
24,148,4,798,808,43,24
25,144,11,631,803,30,21
26,146,8,458,577,66,18
27,146,14,601,611,90,18
28,151,8,221,509,52,12
29,150,6,587,695,47,20
30,150,5,705,755,21,18
31,151,10,654,745,25,28
32,141,8,316,646,22,28
33,143,11,150,679,16,13
34,146,11,55,194,92,10
35,141,11,569,775,29,25
36,149,8,0,840,0,0
