num,x,y,tl,tr,q,s
0,24,7,0,840,0,0
1,33,1,513,808,26,29
2,34,1,160,402,96,16
3,34,10,673,779,43,22
4,34,0,299,334,93,10
5,24,4,237,511,62,18
6,29,7,589,693,30,21
7,27,9,775,795,76,21
8,28,10,790,806,34,25
9,27,10,614,670,88,25
10,30,6,622,660,17,29
11,29,4,476,579,75,22
12,35,9,698,807,32,28
13,30,1,151,655,78,24
14,31,8,520,568,60,25
15,29,4,629,717,47,24
16,25,8,486,614,14,22
17,27,10,544,654,63,17
18,34,10,154,461,90,12
19,28,7,499,722,21,15
20,24,4,308,506,23,29
21,31,3,19,804,19,15
22,33,2,790,802,29,18
23,29,9,285,787,58,19
24,32,5,44,257,40,18
25,26,7,659,692,15,13
26,26,5,76,671,92,23
27,30,4,756,774,14,10
28,26,7,241,478,33,25
29,29,9,461,644,31,14
30,31,6,409,522,49,15
31,36,5,701,757,86,27
32,34,1,87,244,49,14
33,24,7,0,840,0,0
