num,x,y,tl,tr,q,s
0,-14,-69,0,840,0,0
1,-7,-63,121,325,66,20
2,-14,-66,46,198,31,25
3,-3,-71,746,753,46,21
4,-12,-65,121,520,13,24
5,-3,-70,748,793,74,25
6,-2,-69,133,650,96,24
7,-5,-74,347,474,21,16
8,-10,-71,540,706,36,15
9,-10,-72,606,738,64,29
10,-10,-69,761,791,24,14
11,-8,-75,197,389,77,25
12,-4,-70,365,725,56,11
13,-14,-70,249,696,71,27
14,-11,-67,742,763,23,25
15,-7,-66,639,777,48,18
16,-14,-69,22,581,92,27
17,-2,-68,274,695,32,21
18,-5,-73,699,815,81,15
19,-3,-67,754,784,70,21
20,-8,-72,305,643,78,19
21,-5,-67,164,348,90,24
22,-7,-68,233,778,92,23
23,-9,-71,315,376,41,25
24,-5,-73,537,604,36,26
25,-11,-64,151,383,88,10
26,-9,-65,24,581,48,12
27,-5,-72,723,781,25,14
28,-14,-70,569,628,96,27
29,-3,-67,604,790,57,29
30,-14,-67,781,788,18,29
31,-14,-69,0,840,0,0
