num,x,y,tl,tr,q,s
0,-1,-43,0,840,0,0
1,-20,-20,359,663,71,11
2,-20,-55,462,725,43,23
3,-13,-64,729,741,84,10
4,10,-39,257,277,92,16
5,-4,-40,400,780,10,28
6,-19,-34,362,404,65,27
7,-25,-57,404,646,99,15
8,-15,-49,768,833,90,14
9,-25,-26,759,836,56,23
10,-39,-49,644,800,59,21
11,6,-29,610,681,23,16
12,-19,-37,513,650,91,21
13,-39,-42,302,499,35,29
14,7,-36,622,831,51,25
15,-18,-53,165,390,11,23
16,-11,-66,516,754,64,11
17,-25,-46,57,247,67,23
18,-30,-60,756,768,50,11
19,-11,-32,599,674,24,15
20,-22,-32,559,625,45,27
21,-13,-46,324,604,18,14
22,7,-56,753,827,81,27
23,-34,-51,438,774,90,10
24,-19,-23,191,633,65,24
25,-30,-40,86,388,31,16
26,-17,-48,740,839,68,26
27,-4,-21,24,717,60,16
28,-11,-60,680,817,47,25
29,-26,-60,524,705,93,20
30,-19,-17,596,642,96,10
31,-30,-52,127,200,97,10
32,-9,-35,414,577,22,25
33,-35,-57,130,467,77,21
34,-8,-53,93,718,97,20
35,-26,-39,269,796,94,15
36,-25,-21,353,465,71,21
37,-4,-54,360,388,85,21
38,-20,-60,378,601,48,10
39,-35,-29,260,740,16,14
40,-17,-49,531,685,39,17
41,9,-47,163,303,74,14
42,11,-42,404,730,98,16
43,-12,-32,554,623,83,17
44,-10,-43,273,597,50,29
45,0,-21,761,811,34,11
46,-13,-67,482,527,26,26
47,-1,-43,0,840,0,0
