num,x,y,tl,tr,q,s
0,-176,162,0,840,0,0
1,-131,164,486,725,21,27
2,-157,131,365,490,47,11
3,-153,132,523,698,44,23
4,-165,174,563,813,99,26
5,-174,169,623,764,60,22
6,-142,143,313,701,21,20
7,-160,156,182,687,50,29
8,-147,141,583,799,52,22
9,-153,154,519,682,36,26
10,-167,134,404,740,60,21
11,-133,146,758,823,87,16
12,-147,168,411,690,78,22
13,-154,126,95,177,79,14
14,-174,154,326,475,84,16
15,-157,174,95,358,40,28
16,-143,164,343,585,30,19
17,-161,163,503,743,93,20
18,-134,139,57,282,23,27
19,-131,148,269,718,67,13
20,-170,138,255,612,36,20
21,-143,135,399,738,94,23
22,-128,159,188,410,19,23
23,-132,159,680,740,18,29
24,-162,164,121,260,43,13
25,-149,148,228,427,93,20
26,-176,162,0,840,0,0
