num,x,y,tl,tr,q,s
0,-110,62,0,840,0,0
1,-115,37,51,126,59,27
2,-146,30,710,804,27,28
3,-118,71,539,767,36,16
4,-150,62,211,306,97,17
5,-140,40,40,405,78,26
6,-151,45,284,444,92,22
7,-103,47,551,631,34,27
8,-146,65,519,610,68,26
9,-150,32,161,626,32,14
10,-148,54,0,200,11,29
11,-133,58,423,792,83,25
12,-149,42,520,647,79,26
13,-123,72,586,767,56,16
14,-143,75,272,296,55,19
15,-106,49,4,564,40,25
16,-118,62,204,745,77,12
17,-145,53,57,316,82,17
18,-118,55,182,717,95,23
19,-104,46,612,801,45,26
20,-146,61,195,656,25,23
21,-127,71,698,724,67,23
22,-141,59,239,818,66,15
23,-144,34,260,548,21,16
24,-129,58,525,636,81,24
25,-120,70,101,639,76,16
26,-110,62,0,840,0,0
