num,x,y,tl,tr,q,s
0,94,-35,0,840,0,0
1,98,-32,351,712,18,20
2,90,-36,112,748,21,26
3,96,-34,138,691,31,22
4,90,-37,734,746,62,29
5,98,-37,665,746,15,14
6,95,-28,33,400,23,15
7,91,-39,377,469,19,27
8,91,-27,80,197,43,23
9,90,-30,480,544,17,22
10,91,-33,61,644,38,22
11,97,-30,417,593,44,21
12,89,-31,151,279,33,24
13,89,-33,456,585,38,26
14,92,-33,641,819,15,15
15,90,-37,379,727,99,17
16,100,-31,296,497,10,17
17,99,-31,593,609,16,23
18,93,-38,486,671,14,12
19,96,-35,26,136,63,29
20,94,-30,28,440,17,17
21,94,-31,462,560,19,18
22,96,-29,241,409,42,27
23,89,-36,333,803,89,29
24,90,-37,44,207,33,19
25,92,-37,106,251,50,23
26,96,-33,24,524,10,25
27,93,-34,76,516,58,19
28,94,-38,589,777,25,26
29,94,-35,0,840,0,0
