num,x,y,tl,tr,q,s
0,53,10,0,840,0,0
1,47,5,427,432,62,13
2,51,11,664,729,55,17
3,56,10,687,815,27,18
4,55,14,530,645,27,14
5,46,12,800,805,55,27
6,56,5,70,190,20,27
7,58,9,535,749,55,15
8,52,8,616,776,43,24
9,46,12,522,703,72,13
10,51,3,486,803,94,19
11,52,12,62,507,96,16
12,46,6,88,782,30,16
13,56,10,748,768,18,16
14,52,13,723,729,12,13
15,50,8,516,743,19,21
16,50,11,659,749,53,23
17,46,6,486,754,54,27
18,49,9,586,752,29,29
19,48,5,79,249,99,28
20,53,12,249,265,32,16
21,54,12,125,570,13,24
22,55,11,723,780,58,29
23,53,10,0,840,0,0
