num,x,y,tl,tr,q,s
0,147,43,0,840,0,0
1,154,36,295,684,61,25
2,150,43,34,380,93,23
3,152,33,294,322,25,12
4,143,34,357,455,31,22
5,146,39,203,250,45,16
6,150,36,46,110,26,10
7,152,35,782,787,15,24
8,152,41,771,782,53,20
9,150,44,599,668,43,11
10,153,41,357,800,80,26
11,146,35,493,567,26,21
12,152,39,44,552,36,25
13,150,44,809,817,88,21
14,151,38,192,560,50,10
15,154,33,135,472,54,10
16,151,40,604,674,73,25
17,155,34,785,807,88,10
18,147,34,147,800,52,29
19,146,40,782,819,77,13
20,147,43,0,840,0,0
